,time,degree,20,15,10,5,0
0,0,30,0,0,0,0,0.000
1,3,30,0.361,0.328,0.306,0.318,0.328
2,6,30,0.527,0.506,0.488,0.494,0.504
3,9,30,0.603,0.587,0.574,0.578,0.586
4,12,30,0.647,0.634,0.625,0.628,0.634
5,15,30,0.675,0.664,0.658,0.66,0.664
6,18,30,0.694,0.685,0.681,0.682,0.686
7,21,30,0.694,0.685,0.682,0.684,0.684
8,24,30,0.765,0.747,0.756,0.719,0.684
9,27,32.0 ,0.832,0.815,0.809,0.782,0.684
10,30,35.0 ,0.853,0.838,0.828,0.811,0.684
11,33,38.0 ,0.866,0.852,0.84,0.824,0.684
12,36,41.0 ,0.876,0.862,0.848,0.831,0.684
13,39,44.0 ,0.886,0.872,0.856,0.836,0.684
14,42,47.0 ,0.896,0.883,0.865,0.842,0.684
15,45,50.0 ,0.907,0.894,0.876,0.849,0.684
16,48,53.0 ,0.917,0.904,0.887,0.857,0.684
17,51,56.0 ,0.926,0.915,0.898,0.867,0.684
18,54,59.0 ,0.932,0.924,0.908,0.878,0.684
19,57,60,0.938,0.931,0.917,0.89,0.684
20,60,60,0.943,0.938,0.925,0.903,0.684
21,63,60,0.946,0.942,0.931,0.912,0.684
22,66,60,0.948,0.944,0.935,0.919,0.684
23,69,60,0.95,0.946,0.938,0.925,0.684
24,72,60,0.951,0.948,0.939,0.929,0.684
25,75,60,0.951,0.949,0.941,0.932,0.684
26,78,60,0.952,0.95,0.942,0.934,0.684
27,81,60,0.953,0.95,0.943,0.936,0.684
28,84,60,0.953,0.951,0.944,0.938,0.684
29,87,60,0.954,0.951,0.945,0.939,0.684
30,90,60,0.954,0.952,0.946,0.94,0.684
31,93,60,0.955,0.952,0.946,0.941,0.684
32,96,60,0.955,0.952,0.947,0.942,0.684
33,99,60,0.955,0.953,0.947,0.942,0.684
34,102,60,0.955,0.953,0.948,0.943,0.684
35,105,60,0.956,0.953,0.948,0.943,0.684
36,108,60,0.956,0.953,0.948,0.944,0.684
37,111,60,0.957,0.954,0.949,0.944,0.684
38,114,60,0.957,0.954,0.949,0.944,0.684
39,117,60,0.957,0.954,0.949,0.945,0.684
40,120,60,0.957,0.954,0.949,0.945,0.684
