,time,temperature,Na2SO4,Na2CO3,target
0,0.0,30.0,10.0,0,0.0
1,0.0,30.0,10.0,5,0.0
2,0.0,30.0,10.0,10,0.0
3,0.0,30.0,10.0,15,0.0
4,0.0,30.0,10.0,20,0.0
5,3.0,30.0,10.0,0,0.201
6,3.0,30.0,10.0,5,0.196
7,3.0,30.0,10.0,10,0.205
8,3.0,30.0,10.0,15,0.196
9,3.0,30.0,10.0,20,0.20800000000000002
10,6.0,30.0,10.0,0,0.311
11,6.0,30.0,10.0,5,0.307
12,6.0,30.0,10.0,10,0.313
13,6.0,30.0,10.0,15,0.307
14,6.0,30.0,10.0,20,0.316
15,9.0,30.0,10.0,0,0.364
16,9.0,30.0,10.0,5,0.36
17,9.0,30.0,10.0,10,0.366
18,9.0,30.0,10.0,15,0.361
19,9.0,30.0,10.0,20,0.368
20,12.0,30.0,10.0,0,0.397
21,12.0,30.0,10.0,5,0.39399999999999996
22,12.0,30.0,10.0,10,0.39799999999999996
23,12.0,30.0,10.0,15,0.39399999999999996
24,12.0,30.0,10.0,20,0.4
25,15.0,30.0,10.0,0,0.419
26,15.0,30.0,10.0,5,0.41700000000000004
27,15.0,30.0,10.0,10,0.42
28,15.0,30.0,10.0,15,0.41700000000000004
29,15.0,30.0,10.0,20,0.42200000000000004
30,18.0,30.0,10.0,0,0.436
31,18.0,30.0,10.0,5,0.434
32,18.0,30.0,10.0,10,0.43700000000000006
33,18.0,30.0,10.0,15,0.434
34,18.0,30.0,10.0,20,0.43799999999999994
35,21.0,30.0,10.0,0,0.434
36,21.0,30.0,10.0,5,0.434
37,21.0,30.0,10.0,10,0.43700000000000006
38,21.0,30.0,10.0,15,0.434
39,21.0,30.0,10.0,20,0.43799999999999994
40,24.0,30.0,10.0,0,0.434
41,24.0,30.0,10.0,5,0.502
42,24.0,30.0,10.0,10,0.51
43,24.0,30.0,10.0,15,0.539
44,24.0,30.0,10.0,20,0.55
45,27.0,32.0,10.0,0,0.434
46,27.0,32.0,10.0,5,0.565
47,27.0,32.0,10.0,10,0.597
48,27.0,32.0,10.0,15,0.629
49,27.0,32.0,10.0,20,0.66
50,30.0,35.0,10.0,0,0.434
51,30.0,35.0,10.0,5,0.589
52,30.0,35.0,10.0,10,0.597
53,30.0,35.0,10.0,15,0.664
54,30.0,35.0,10.0,20,0.698
55,33.0,38.0,10.0,0,0.434
56,33.0,38.0,10.0,5,0.6
57,33.0,38.0,10.0,10,0.648
58,33.0,38.0,10.0,15,0.6859999999999999
59,33.0,38.0,10.0,20,0.721
60,36.0,41.0,10.0,0,0.434
61,36.0,41.0,10.0,5,0.607
62,36.0,41.0,10.0,10,0.6609999999999999
63,36.0,41.0,10.0,15,0.703
64,36.0,41.0,10.0,20,0.741
65,39.0,44.0,10.0,0,0.434
66,39.0,44.0,10.0,5,0.612
67,39.0,44.0,10.0,10,0.6729999999999999
68,39.0,44.0,10.0,15,0.7190000000000001
69,39.0,44.0,10.0,20,0.758
70,42.0,47.0,10.0,0,0.434
71,42.0,47.0,10.0,5,0.612
72,42.0,47.0,10.0,10,0.685
73,42.0,47.0,10.0,15,0.735
74,42.0,47.0,10.0,20,0.777
75,45.0,50.0,10.0,0,0.434
76,45.0,50.0,10.0,5,0.624
77,45.0,50.0,10.0,10,0.7
78,45.0,50.0,10.0,15,0.753
79,45.0,50.0,10.0,20,0.7959999999999999
80,48.0,53.0,10.0,0,0.434
81,48.0,53.0,10.0,5,0.634
82,48.0,53.0,10.0,10,0.7170000000000001
83,48.0,53.0,10.0,15,0.772
84,48.0,53.0,10.0,20,0.815
85,51.0,56.0,10.0,0,0.434
86,51.0,56.0,10.0,5,0.6459999999999999
87,51.0,56.0,10.0,10,0.735
